Afghanistan,7.58,1610,9.44,56.2
Albania,6.55,9930,4.49,76.3
Algeria,4.17,12900,16.1,76.5
Angola,2.85,5900,22.4,60.1
Antigua and Barbuda,6.03,19100,1.44,76.8
Argentina,8.1,18700,20.9,75.8
Armenia,4.4,6700,7.77,73.3
Australia,8.73,41400,1.16,82
Austria,11,43200,0.873,80.5
Azerbaijan,5.88,16000,13.8,69.1
Bahamas,7.89,22900,-0.393,73.8
Bahrain,4.97,41100,7.44,76
Bangladesh,3.52,2440,7.14,70.4
Barbados,7.97,15300,0.321,76.7
Belarus,5.61,16200,15.1,70.4
Belgium,10.7,41100,1.88,80
Belize,5.2,7880,1.14,71.4
Benin,4.1,1820,0.885,61.8
Bhutan,5.2,6420,5.99,72.1
Bolivia,4.84,5410,8.78,71.6
Bosnia and Herzegovina,11.1,9720,1.4,76.8
Botswana,8.3,13300,8.92,57.1
Brazil,9.01,14500,8.41,74.2
Brunei,2.84,80600,16.7,77.1
Bulgaria,6.87,15300,1.11,73.9
Burkina Faso,6.74,1430,6.81,57.9
Burundi,11.6,764,12.3,57.7
Cambodia,5.68,2520,3.12,66.1
Cameroon,5.13,2660,1.91,57.3
Canada,11.3,40700,2.87,81.3
Cape Verde,4.09,5830,0.505,72.5
Central African Republic,3.98,888,2.01,47.5
Chad,4.53,1930,6.39,56.5
Chile,7.96,19400,8.96,79.1
China,5.07,9530,6.94,74.6
Colombia,7.59,10900,3.86,76.4
Comoros,4.51,1410,3.87,65.9
"Congo, Dem. Rep.",7.91,609,20.8,57.5
"Congo, Rep.",2.46,5190,20.7,60.4
Costa Rica,10.9,13000,6.57,80.4
Cote d'Ivoire,5.3,2690,5.39,56.3
Croatia,7.76,20100,0.821,76.3
Cyprus,5.97,33900,2.01,79.9
Czech Republic,7.88,28300,-1.43,77.5
Denmark,11.4,44000,3.22,79.5
Dominican Republic,6.22,11100,5.44,74.6
Ecuador,8.06,9350,7.47,76.7
Egypt,4.66,9860,10.1,70.5
El Salvador,6.91,7300,2.65,74.1
Equatorial Guinea,4.48,33700,24.9,60.9
Eritrea,2.66,1420,11.6,61.7
Estonia,6.03,22700,1.74,76
Fiji,4.86,7350,4.23,65.3
Finland,8.95,39800,0.351,80
France,11.9,36900,1.05,81.4
Gabon,3.5,15400,16.6,62.9
Gambia,5.69,1660,4.3,65.5
Georgia,10.1,6730,8.55,72.8
Germany,11.6,40400,0.758,80.1
Ghana,5.22,3060,16.6,62.2
Greece,10.3,28700,0.673,80.4
Grenada,5.86,11200,0.48,71.3
Guatemala,6.85,6710,5.14,71.3
Guinea,4.93,1190,16.1,58
Guinea-Bissau,8.5,1390,2.97,55.6
Guyana,5.38,5840,5.73,65.5
Haiti,6.91,1500,5.45,32.1
Hungary,7.33,22300,2.33,74.5
Iceland,9.4,38800,5.47,82
India,4.05,4410,8.98,66.2
Indonesia,2.61,8430,15.3,69.9
Iran,5.6,17400,15.9,74.5
Iraq,8.41,12700,16.6,67.2
Ireland,9.19,45700,-3.22,80.4
Israel,7.63,29600,1.77,81.4
Italy,9.53,36200,0.319,81.7
Jamaica,4.81,8000,9.81,74.7
Japan,9.49,35800,-1.9,82.8
Jordan,8.04,9470,8.43,75.8
Kazakhstan,4.29,20100,19.5,68.4
Kenya,4.75,2480,2.09,62.8
Kiribati,11.3,1730,1.52,60.7
Kuwait,2.63,75200,11.2,78.2
Kyrgyz Republic,6.18,2790,10,68.5
Lao,4.47,3980,9.2,63.8
Latvia,6.68,18300,-0.812,73.1
Lebanon,7.03,16300,0.238,79.8
Lesotho,11.1,2380,4.15,46.5
Liberia,11.8,700,5.47,60.8
Libya,3.88,29600,14.2,76.1
Lithuania,7.04,21100,2.38,73.2
Luxembourg,7.77,91700,3.62,81.3
"Macedonia, FYR",7.09,11400,2.04,74
Madagascar,3.77,1390,8.79,60.8
Malawi,6.59,1030,12.1,53.1
Malaysia,4.39,21100,7.27,74.5
Maldives,6.33,10500,2.88,77.9
Mali,4.98,1870,4.37,59.5
Malta,8.65,28300,3.83,80.3
Mauritania,4.41,3320,18.9,68.2
Mauritius,6,15900,1.13,73.4
"Micronesia, Fed. Sts.",14.2,3340,3.8,65.4
Moldova,11.7,3910,11.1,69.7
Mongolia,5.44,7710,39.2,66.2
Montenegro,9.11,14000,1.6,76.4
Morocco,5.2,6440,0.976,73.5
Mozambique,5.21,918,7.64,54.5
Myanmar,1.97,3720,7.04,66.8
Namibia,6.78,8460,3.56,58.6
Nepal,5.25,1990,15.1,68.3
Netherlands,11.9,45500,0.848,80.7
New Zealand,10.1,32300,3.73,80.9
Niger,5.16,814,2.55,58.8
Nigeria,5.07,5150,104,60.5
Norway,9.48,62300,5.95,81
Oman,2.77,45300,15.6,76.1
Pakistan,2.2,4280,10.9,65.3
Panama,8.1,15400,2.59,77.8
Paraguay,5.87,7290,6.1,74.1
Peru,5.08,9960,5.71,77.9
Philippines,3.61,5600,4.22,69
Poland,7.46,21800,1.66,76.3
Portugal,11,27200,0.643,79.8
Qatar,1.81,125000,6.98,79.5
Romania,5.58,17800,3.53,73.7
Russia,5.08,23100,14.2,69.2
Rwanda,10.5,1350,2.61,64.6
Samoa,6.47,5400,1.72,71.5
Saudi Arabia,4.29,45400,17.2,75.1
Senegal,5.66,2180,1.85,64
Serbia,10.4,12700,5.88,74.7
Seychelles,3.4,20400,-4.21,73.4
Sierra Leone,13.1,1220,17.2,55
Singapore,3.96,72100,-0.046,82.7
Slovak Republic,8.79,25200,0.485,75.5
Slovenia,9.41,28700,-0.987,79.5
Solomon Islands,8.55,1780,6.81,61.7
South Africa,8.94,12000,6.35,54.3
South Korea,6.93,30400,3.16,80.1
Spain,9.54,32500,0.16,81.9
Sri Lanka,2.94,8560,22.8,74.4
St. Vincent and the Grenadines,4.47,9920,4.44,71.6
Sudan,6.32,3370,19.6,66.3
Suriname,7.01,14200,7.2,70.3
Sweden,9.63,42900,0.991,81.5
Switzerland,11.5,55500,0.317,82.2
Tajikistan,5.98,2110,12.5,69.6
Tanzania,6.01,2090,9.25,59.3
Thailand,3.88,13500,4.08,76.6
Timor-Leste,9.12,1850,26.5,71.1
Togo,7.65,1210,1.18,58.7
Tonga,5.07,4980,3.68,69.9
Tunisia,6.21,10400,3.82,76.9
Turkey,6.74,18000,7.01,78.2
Turkmenistan,2.5,9940,2.31,67.9
Uganda,9.01,1540,10.6,56.8
Ukraine,7.72,7820,13.4,70.4
United Arab Emirates,3.66,57600,12.5,76.5
United Kingdom,9.64,36200,1.57,80.3
United States,17.9,49400,1.22,78.7
Uruguay,8.35,17100,4.91,76.4
Uzbekistan,5.81,4240,16.5,68.8
Vanuatu,5.25,2950,2.62,63
Venezuela,4.91,16500,45.9,75.4
Vietnam,6.84,4490,12.1,73.1
Yemen,5.18,4480,23.6,67.5
Zambia,5.89,3280,14,52
